--width 160 --height 160 --ball 1.0 --ball-size 2.0 --snell 1.0 --snell-width 80.0 --snell-change 0.0 --snell-visible none --paddle-speed 1.0 --paddle-angle 70.0 --paddle-length 20.0 --update-prob 0.4 --state binary --learning-rate 0.0001 --network noisy --render False --epsdecay 1000 --episodes 4000 --replay 100000 --batch-size 512 --actors 10 --samplers 8 --checkpoint dqn.torch --history history.p --store-dir ../experiments/distributed-noisy 
Device: cuda
tid: 81 | Actor-0 started on device cpu
tid: 87 | Memory encoder process started
tid: 85 | Actor-1 started on device cpu
tid: 98 | Memory encoder process started
tid: 97 | Actor-2 started on device cpu
tid: 111 | Memory encoder process started
tid: 109 | Actor-3 started on device cpu
tid: 123 | Memory encoder process started
tid: 121 | Actor-4 started on device cpu
tid: 135 | Memory encoder process started
tid: 133 | Actor-5 started on device cpu
tid: 147 | Memory encoder process started
tid: 145 | Actor-6 started on device cpu
tid: 159 | Memory encoder process started
tid: 157 | Actor-7 started on device cpu
tid: 169 | Memory encoder process started
tid: 168 | Actor-8 started on device cpu
tid: 181 | Memory encoder process started
tid: 179 | Actor-9 started on device cpu
tid: 194 | Memory encoder process started
tid: 211 | Replay memory sample worker started
tid: 206 | Replay memory sample worker started
tid: 207 | Replay memory sample worker started
tid: 205 | Replay memory push worker started
tid: 212 | Replay memory sample worker started
tid: 208 | Replay memory sample worker started
tid: 210 | Replay memory sample worker started
tid: 215 | Replay memory sample worker started
tid: 214 | Replay memory sample worker started
tid: 191 | Learner started on device cuda:0
tid: 254 | Decoder process started
tid: 249 | Decoder process started
tid: 248 | Decoder process started
tid: 252 | Decoder process started
tid: 253 | Decoder process started
tid: 247 | Decoder process started
tid: 250 | Decoder process started
tid: 251 | Decoder process started
Actor: 1  	Total steps: 454      	Episode: 1    	Reward: -20	Steps: 453
Actor: 2  	Total steps: 460      	Episode: 1    	Reward: -20	Steps: 459
Actor: 0  	Total steps: 547      	Episode: 1    	Reward: -20	Steps: 546
Actor: 4  	Total steps: 457      	Episode: 1    	Reward: -20	Steps: 456
Actor: 5  	Total steps: 458      	Episode: 1    	Reward: -20	Steps: 457
Actor: 3  	Total steps: 543      	Episode: 1    	Reward: -20	Steps: 542
Actor: 6  	Total steps: 457      	Episode: 1    	Reward: -20	Steps: 456
Actor: 7  	Total steps: 449      	Episode: 1    	Reward: -20	Steps: 448
Actor: 8  	Total steps: 457      	Episode: 1    	Reward: -20	Steps: 456
Actor: 9  	Total steps: 453      	Episode: 1    	Reward: -20	Steps: 452
Actor: 2  	Total steps: 915      	Episode: 2    	Reward: -20	Steps: 454
Actor: 0  	Total steps: 1016     	Episode: 2    	Reward: -20	Steps: 468
Actor: 4  	Total steps: 900      	Episode: 2    	Reward: -19	Steps: 442
Actor: 1  	Total steps: 987      	Episode: 2    	Reward: -20	Steps: 532
Actor: 3  	Total steps: 996      	Episode: 2    	Reward: -20	Steps: 452
Actor: 5  	Total steps: 916      	Episode: 2    	Reward: -20	Steps: 457
Actor: 6  	Total steps: 916      	Episode: 2    	Reward: -20	Steps: 458
Actor: 7  	Total steps: 900      	Episode: 2    	Reward: -20	Steps: 450
Actor: 9  	Total steps: 907      	Episode: 2    	Reward: -20	Steps: 453
Actor: 8  	Total steps: 987      	Episode: 2    	Reward: -19	Steps: 529
Actor: 0  	Total steps: 1471     	Episode: 3    	Reward: -20	Steps: 454
Actor: 4  	Total steps: 1363     	Episode: 3    	Reward: -20	Steps: 462
Actor: 2  	Total steps: 1447     	Episode: 3    	Reward: -20	Steps: 531
Actor: 1  	Total steps: 1432     	Episode: 3    	Reward: -19	Steps: 444
Actor: 3  	Total steps: 1454     	Episode: 3    	Reward: -20	Steps: 457
Actor: 5  	Total steps: 1374     	Episode: 3    	Reward: -20	Steps: 457
Actor: 6  	Total steps: 1370     	Episode: 3    	Reward: -20	Steps: 453
Actor: 7  	Total steps: 1356     	Episode: 3    	Reward: -20	Steps: 455
Actor: 9  	Total steps: 1369     	Episode: 3    	Reward: -20	Steps: 461
Actor: 8  	Total steps: 1441     	Episode: 3    	Reward: -20	Steps: 453
Actor: 0  	Total steps: 1929     	Episode: 4    	Reward: -20	Steps: 457
Actor: 4  	Total steps: 1823     	Episode: 4    	Reward: -20	Steps: 459
Actor: 2  	Total steps: 1908     	Episode: 4    	Reward: -20	Steps: 460
Actor: 1  	Total steps: 1886     	Episode: 4    	Reward: -20	Steps: 453
Actor: 6  	Total steps: 1817     	Episode: 4    	Reward: -20	Steps: 446
Actor: 5  	Total steps: 1830     	Episode: 4    	Reward: -20	Steps: 455
Actor: 3  	Total steps: 1905     	Episode: 4    	Reward: -20	Steps: 450
Actor: 7  	Total steps: 1810     	Episode: 4    	Reward: -20	Steps: 453
Actor: 8  	Total steps: 1897     	Episode: 4    	Reward: -20	Steps: 455
Actor: 9  	Total steps: 1824     	Episode: 4    	Reward: -20	Steps: 454
Actor: 0  	Total steps: 2380     	Episode: 5    	Reward: -20	Steps: 450
Actor: 4  	Total steps: 2282     	Episode: 5    	Reward: -20	Steps: 458
Actor: 2  	Total steps: 2436     	Episode: 5    	Reward: -19	Steps: 527
Actor: 1  	Total steps: 2340     	Episode: 5    	Reward: -20	Steps: 453
Actor: 6  	Total steps: 2269     	Episode: 5    	Reward: -20	Steps: 451
Actor: 5  	Total steps: 2281     	Episode: 5    	Reward: -20	Steps: 450
Actor: 7  	Total steps: 2270     	Episode: 5    	Reward: -20	Steps: 459
Actor: 3  	Total steps: 2359     	Episode: 5    	Reward: -20	Steps: 453
Actor: 0  	Total steps: 2833     	Episode: 6    	Reward: -20	Steps: 452
Actor: 8  	Total steps: 2345     	Episode: 5    	Reward: -20	Steps: 447
Actor: 4  	Total steps: 2730     	Episode: 6    	Reward: -20	Steps: 447
Actor: 2  	Total steps: 2892     	Episode: 6    	Reward: -20	Steps: 455
Actor: 9  	Total steps: 2369     	Episode: 5    	Reward: -20	Steps: 544
Actor: 1  	Total steps: 2858     	Episode: 6    	Reward: -19	Steps: 517
Actor: 6  	Total steps: 2733     	Episode: 6    	Reward: -20	Steps: 463
Actor: 7  	Total steps: 2729     	Episode: 6    	Reward: -20	Steps: 458
Actor: 5  	Total steps: 2738     	Episode: 6    	Reward: -20	Steps: 456
Actor: 3  	Total steps: 2808     	Episode: 6    	Reward: -19	Steps: 448
Actor: 0  	Total steps: 3291     	Episode: 7    	Reward: -20	Steps: 457
Actor: 4  	Total steps: 3182     	Episode: 7    	Reward: -20	Steps: 451
Actor: 8  	Total steps: 2800     	Episode: 6    	Reward: -20	Steps: 454
Actor: 2  	Total steps: 3335     	Episode: 7    	Reward: -19	Steps: 442
Actor: 9  	Total steps: 2827     	Episode: 6    	Reward: -20	Steps: 457
Actor: 1  	Total steps: 3312     	Episode: 7    	Reward: -20	Steps: 453
Actor: 6  	Total steps: 3187     	Episode: 7    	Reward: -20	Steps: 453
Actor: 7  	Total steps: 3179     	Episode: 7    	Reward: -20	Steps: 449
Actor: 5  	Total steps: 3196     	Episode: 7    	Reward: -20	Steps: 457
Actor: 3  	Total steps: 3271     	Episode: 7    	Reward: -20	Steps: 462
Actor: 4  	Total steps: 3626     	Episode: 8    	Reward: -20	Steps: 443
Actor: 0  	Total steps: 3827     	Episode: 8    	Reward: -20	Steps: 535
Actor: 2  	Total steps: 3792     	Episode: 8    	Reward: -20	Steps: 456
Actor: 8  	Total steps: 3260     	Episode: 7    	Reward: -20	Steps: 459
Actor: 9  	Total steps: 3278     	Episode: 7    	Reward: -20	Steps: 450
Actor: 1  	Total steps: 3763     	Episode: 8    	Reward: -20	Steps: 450
Actor: 6  	Total steps: 3651     	Episode: 8    	Reward: -20	Steps: 463
Actor: 7  	Total steps: 3641     	Episode: 8    	Reward: -20	Steps: 461
Actor: 5  	Total steps: 3653     	Episode: 8    	Reward: -20	Steps: 456
Actor: 3  	Total steps: 3723     	Episode: 8    	Reward: -20	Steps: 451
Actor: 4  	Total steps: 4084     	Episode: 9    	Reward: -20	Steps: 457
Actor: 0  	Total steps: 4291     	Episode: 9    	Reward: -20	Steps: 463
Actor: 2  	Total steps: 4250     	Episode: 9    	Reward: -20	Steps: 457
Actor: 8  	Total steps: 3714     	Episode: 8    	Reward: -20	Steps: 453
Actor: 1  	Total steps: 4219     	Episode: 9    	Reward: -20	Steps: 455
Actor: 9  	Total steps: 3733     	Episode: 8    	Reward: -20	Steps: 454
Actor: 6  	Total steps: 4109     	Episode: 9    	Reward: -20	Steps: 457
Actor: 7  	Total steps: 4096     	Episode: 9    	Reward: -20	Steps: 454
Actor: 5  	Total steps: 4107     	Episode: 9    	Reward: -20	Steps: 453
Actor: 4  	Total steps: 4537     	Episode: 10   	Reward: -20	Steps: 452
Actor: 3  	Total steps: 4186     	Episode: 9    	Reward: -20	Steps: 462
Actor: 2  	Total steps: 4702     	Episode: 10   	Reward: -20	Steps: 451
Actor: 0  	Total steps: 4825     	Episode: 10   	Reward: -20	Steps: 533
Actor: 8  	Total steps: 4169     	Episode: 9    	Reward: -20	Steps: 454
Actor: 1  	Total steps: 4671     	Episode: 10   	Reward: -20	Steps: 451
Actor: 9  	Total steps: 4187     	Episode: 9    	Reward: -20	Steps: 453
Actor: 7  	Total steps: 4533     	Episode: 10   	Reward: -19	Steps: 436
Actor: 6  	Total steps: 4573     	Episode: 10   	Reward: -20	Steps: 463
Actor: 4  	Total steps: 4985     	Episode: 11   	Reward: -20	Steps: 447
Actor: 3  	Total steps: 4630     	Episode: 10   	Reward: -20	Steps: 443
Actor: 5  	Total steps: 4647     	Episode: 10   	Reward: -20	Steps: 539
Actor: 2  	Total steps: 5156     	Episode: 11   	Reward: -20	Steps: 453
Actor: 0  	Total steps: 5284     	Episode: 11   	Reward: -20	Steps: 458
Actor: 8  	Total steps: 4702     	Episode: 10   	Reward: -20	Steps: 532
Actor: 1  	Total steps: 5132     	Episode: 11   	Reward: -20	Steps: 460
Actor: 7  	Total steps: 4989     	Episode: 11   	Reward: -20	Steps: 455
Actor: 6  	Total steps: 5030     	Episode: 11   	Reward: -20	Steps: 456
Actor: 4  	Total steps: 5442     	Episode: 12   	Reward: -20	Steps: 456
Actor: 9  	Total steps: 4707     	Episode: 10   	Reward: -19	Steps: 519
Actor: 5  	Total steps: 5109     	Episode: 11   	Reward: -20	Steps: 461
Actor: 2  	Total steps: 5675     	Episode: 12   	Reward: -19	Steps: 518
Actor: 3  	Total steps: 5169     	Episode: 11   	Reward: -20	Steps: 538
Actor: 0  	Total steps: 5811     	Episode: 12   	Reward: -19	Steps: 526
Actor: 8  	Total steps: 5162     	Episode: 11   	Reward: -20	Steps: 459
Actor: 1  	Total steps: 5594     	Episode: 12   	Reward: -20	Steps: 461
Actor: 7  	Total steps: 5443     	Episode: 12   	Reward: -20	Steps: 453
Actor: 6  	Total steps: 5481     	Episode: 12   	Reward: -20	Steps: 450
Actor: 4  	Total steps: 5901     	Episode: 13   	Reward: -20	Steps: 458
Actor: 9  	Total steps: 5173     	Episode: 11   	Reward: -20	Steps: 465
Actor: 2  	Total steps: 6127     	Episode: 13   	Reward: -20	Steps: 451
Actor: 5  	Total steps: 5567     	Episode: 12   	Reward: -20	Steps: 457
Actor: 0  	Total steps: 6265     	Episode: 13   	Reward: -20	Steps: 453
Actor: 3  	Total steps: 5619     	Episode: 12   	Reward: -20	Steps: 449
Actor: 8  	Total steps: 5615     	Episode: 12   	Reward: -20	Steps: 452
Actor: 1  	Total steps: 6045     	Episode: 13   	Reward: -20	Steps: 450
Actor: 4  	Total steps: 6359     	Episode: 14   	Reward: -20	Steps: 457
Actor: 7  	Total steps: 5913     	Episode: 13   	Reward: -20	Steps: 469
Actor: 6  	Total steps: 5936     	Episode: 13   	Reward: -20	Steps: 454
Actor: 9  	Total steps: 5637     	Episode: 12   	Reward: -20	Steps: 463
Actor: 2  	Total steps: 6579     	Episode: 14   	Reward: -20	Steps: 451
Actor: 5  	Total steps: 6022     	Episode: 13   	Reward: -20	Steps: 454
Actor: 3  	Total steps: 6082     	Episode: 13   	Reward: -20	Steps: 462
Actor: 0  	Total steps: 6797     	Episode: 14   	Reward: -20	Steps: 531
Actor: 8  	Total steps: 6084     	Episode: 13   	Reward: -20	Steps: 468
Actor: 4  	Total steps: 6816     	Episode: 15   	Reward: -20	Steps: 456
Actor: 1  	Total steps: 6491     	Episode: 14   	Reward: -20	Steps: 445
Actor: 6  	Total steps: 6389     	Episode: 14   	Reward: -20	Steps: 452
Actor: 7  	Total steps: 6367     	Episode: 14   	Reward: -20	Steps: 453
Actor: 2  	Total steps: 7029     	Episode: 15   	Reward: -20	Steps: 449
Actor: 9  	Total steps: 6100     	Episode: 13   	Reward: -20	Steps: 462
Actor: 5  	Total steps: 6483     	Episode: 14   	Reward: -20	Steps: 460
Actor: 0  	Total steps: 7254     	Episode: 15   	Reward: -20	Steps: 456
Actor: 3  	Total steps: 6540     	Episode: 14   	Reward: -20	Steps: 457
Actor: 4  	Total steps: 7263     	Episode: 16   	Reward: -20	Steps: 446
Actor: 7  	Total steps: 6818     	Episode: 15   	Reward: -20	Steps: 450
Actor: 8  	Total steps: 6545     	Episode: 14   	Reward: -20	Steps: 460
Actor: 6  	Total steps: 6849     	Episode: 15   	Reward: -20	Steps: 459
Actor: 1  	Total steps: 6948     	Episode: 15   	Reward: -20	Steps: 456
Actor: 2  	Total steps: 7482     	Episode: 16   	Reward: -20	Steps: 452
Actor: 9  	Total steps: 6558     	Episode: 14   	Reward: -20	Steps: 457
Actor: 0  	Total steps: 7706     	Episode: 16   	Reward: -20	Steps: 451
Actor: 5  	Total steps: 6943     	Episode: 15   	Reward: -20	Steps: 459
Actor: 3  	Total steps: 6997     	Episode: 15   	Reward: -20	Steps: 456
Actor: 4  	Total steps: 7724     	Episode: 17   	Reward: -20	Steps: 460
Actor: 7  	Total steps: 7259     	Episode: 16   	Reward: -19	Steps: 440
Actor: 6  	Total steps: 7302     	Episode: 16   	Reward: -20	Steps: 452
Actor: 1  	Total steps: 7400     	Episode: 16   	Reward: -20	Steps: 451
Actor: 2  	Total steps: 7937     	Episode: 17   	Reward: -20	Steps: 454
Actor: 8  	Total steps: 7074     	Episode: 15   	Reward: -20	Steps: 528
Actor: 9  	Total steps: 7012     	Episode: 15   	Reward: -20	Steps: 453
Actor: 0  	Total steps: 8162     	Episode: 17   	Reward: -20	Steps: 455
Actor: 5  	Total steps: 7393     	Episode: 16   	Reward: -20	Steps: 449
Actor: 3  	Total steps: 7457     	Episode: 16   	Reward: -20	Steps: 459
Actor: 4  	Total steps: 8184     	Episode: 18   	Reward: -20	Steps: 459
Actor: 7  	Total steps: 7787     	Episode: 17   	Reward: -19	Steps: 527
Actor: 1  	Total steps: 7857     	Episode: 17   	Reward: -20	Steps: 456
Actor: 2  	Total steps: 8394     	Episode: 18   	Reward: -20	Steps: 456
Actor: 8  	Total steps: 7533     	Episode: 16   	Reward: -20	Steps: 458
Actor: 6  	Total steps: 7906     	Episode: 17   	Reward: -19	Steps: 603
Actor: 0  	Total steps: 8626     	Episode: 18   	Reward: -20	Steps: 463
Actor: 5  	Total steps: 7833     	Episode: 17   	Reward: -19	Steps: 439
Actor: 9  	Total steps: 7546     	Episode: 16   	Reward: -20	Steps: 533
Actor: 4  	Total steps: 8635     	Episode: 19   	Reward: -20	Steps: 450
Actor: 3  	Total steps: 7916     	Episode: 17   	Reward: -20	Steps: 458
Actor: 7  	Total steps: 8236     	Episode: 18   	Reward: -20	Steps: 448
Actor: 2  	Total steps: 8855     	Episode: 19   	Reward: -20	Steps: 460
Actor: 1  	Total steps: 8320     	Episode: 18   	Reward: -20	Steps: 462
Actor: 8  	Total steps: 7991     	Episode: 17   	Reward: -20	Steps: 457
Actor: 6  	Total steps: 8357     	Episode: 18   	Reward: -20	Steps: 450
Actor: 0  	Total steps: 9083     	Episode: 19   	Reward: -20	Steps: 456
Actor: 5  	Total steps: 8283     	Episode: 18   	Reward: -20	Steps: 449
Actor: 4  	Total steps: 9094     	Episode: 20   	Reward: -20	Steps: 458
Actor: 9  	Total steps: 8005     	Episode: 17   	Reward: -20	Steps: 458
Actor: 3  	Total steps: 8373     	Episode: 18   	Reward: -20	Steps: 456
Actor: 7  	Total steps: 8692     	Episode: 19   	Reward: -20	Steps: 455
Actor: 2  	Total steps: 9397     	Episode: 20   	Reward: -20	Steps: 541
Actor: 8  	Total steps: 8442     	Episode: 18   	Reward: -20	Steps: 450
Actor: 1  	Total steps: 8780     	Episode: 19   	Reward: -20	Steps: 459
Actor: 6  	Total steps: 8819     	Episode: 19   	Reward: -20	Steps: 461
Actor: 0  	Total steps: 9541     	Episode: 20   	Reward: -20	Steps: 457
Actor: 5  	Total steps: 8740     	Episode: 19   	Reward: -20	Steps: 456
Actor: 9  	Total steps: 8468     	Episode: 18   	Reward: -20	Steps: 462
Actor: 3  	Total steps: 8827     	Episode: 19   	Reward: -20	Steps: 453
Actor: 4  	Total steps: 9689     	Episode: 21   	Reward: -19	Steps: 594
Actor: 7  	Total steps: 9148     	Episode: 20   	Reward: -20	Steps: 455
Actor: 6  	Total steps: 9272     	Episode: 20   	Reward: -20	Steps: 452
Actor: 2  	Total steps: 9929     	Episode: 21   	Reward: -20	Steps: 531
Actor: 1  	Total steps: 9310     	Episode: 20   	Reward: -19	Steps: 529
Actor: 0  	Total steps: 10011    	Episode: 21   	Reward: -20	Steps: 469
Actor: 8  	Total steps: 8976     	Episode: 19   	Reward: -20	Steps: 533
Actor: 5  	Total steps: 9197     	Episode: 20   	Reward: -20	Steps: 456
Actor: 9  	Total steps: 8925     	Episode: 19   	Reward: -20	Steps: 456
Actor: 4  	Total steps: 10143    	Episode: 22   	Reward: -20	Steps: 453
Actor: 3  	Total steps: 9286     	Episode: 20   	Reward: -20	Steps: 458
Actor: 6  	Total steps: 9725     	Episode: 21   	Reward: -20	Steps: 452
Actor: 2  	Total steps: 10383    	Episode: 22   	Reward: -20	Steps: 453
Actor: 7  	Total steps: 9675     	Episode: 21   	Reward: -20	Steps: 526
Actor: 0  	Total steps: 10470    	Episode: 22   	Reward: -20	Steps: 458
Actor: 8  	Total steps: 9432     	Episode: 20   	Reward: -20	Steps: 455
Actor: 1  	Total steps: 9774     	Episode: 21   	Reward: -20	Steps: 463
Actor: 5  	Total steps: 9654     	Episode: 21   	Reward: -20	Steps: 456
Actor: 4  	Total steps: 10609    	Episode: 23   	Reward: -20	Steps: 465
Actor: 3  	Total steps: 9742     	Episode: 21   	Reward: -20	Steps: 455
Actor: 9  	Total steps: 9457     	Episode: 20   	Reward: -20	Steps: 531
Actor: 2  	Total steps: 10833    	Episode: 23   	Reward: -20	Steps: 449
Actor: 6  	Total steps: 10177    	Episode: 22   	Reward: -20	Steps: 451
Actor: 7  	Total steps: 10135    	Episode: 22   	Reward: -20	Steps: 459
Actor: 0  	Total steps: 10927    	Episode: 23   	Reward: -20	Steps: 456
Actor: 1  	Total steps: 10233    	Episode: 22   	Reward: -20	Steps: 458
Actor: 8  	Total steps: 9894     	Episode: 21   	Reward: -20	Steps: 461
Actor: 5  	Total steps: 10089    	Episode: 22   	Reward: -19	Steps: 434
Actor: 4  	Total steps: 11063    	Episode: 24   	Reward: -20	Steps: 453
Actor: 3  	Total steps: 10196    	Episode: 22   	Reward: -20	Steps: 453
Actor: 9  	Total steps: 9921     	Episode: 21   	Reward: -20	Steps: 463
Actor: 6  	Total steps: 10639    	Episode: 23   	Reward: -20	Steps: 461
Actor: 7  	Total steps: 10590    	Episode: 23   	Reward: -20	Steps: 454
Actor: 2  	Total steps: 11377    	Episode: 24   	Reward: -20	Steps: 543
Actor: 0  	Total steps: 11381    	Episode: 24   	Reward: -20	Steps: 453
Actor: 1  	Total steps: 10684    	Episode: 23   	Reward: -20	Steps: 450
Actor: 5  	Total steps: 10543    	Episode: 23   	Reward: -20	Steps: 453
Actor: 4  	Total steps: 11510    	Episode: 25   	Reward: -20	Steps: 446
Actor: 8  	Total steps: 10427    	Episode: 22   	Reward: -20	Steps: 532
Actor: 3  	Total steps: 10668    	Episode: 23   	Reward: -20	Steps: 471
Actor: 6  	Total steps: 11101    	Episode: 24   	Reward: -20	Steps: 461
Actor: 7  	Total steps: 11053    	Episode: 24   	Reward: -20	Steps: 462
Actor: 0  	Total steps: 11835    	Episode: 25   	Reward: -20	Steps: 453
Actor: 9  	Total steps: 10454    	Episode: 22   	Reward: -20	Steps: 532
Actor: 1  	Total steps: 11227    	Episode: 24   	Reward: -20	Steps: 542
Actor: 5  	Total steps: 10999    	Episode: 24   	Reward: -20	Steps: 455
Actor: 4  	Total steps: 11970    	Episode: 26   	Reward: -20	Steps: 459
Actor: 3  	Total steps: 11189    	Episode: 24   	Reward: -19	Steps: 520
Actor: 8  	Total steps: 11081    	Episode: 23   	Reward: -17	Steps: 653
Actor: 2  	Total steps: 12328    	Episode: 25   	Reward: -20	Steps: 950
Actor: 7  	Total steps: 11513    	Episode: 25   	Reward: -20	Steps: 459
Actor: 6  	Total steps: 11637    	Episode: 25   	Reward: -20	Steps: 535
Actor: 1  	Total steps: 11660    	Episode: 25   	Reward: -19	Steps: 432
Actor: 4  	Total steps: 12502    	Episode: 27   	Reward: -20	Steps: 531
Actor: 0  	Total steps: 12578    	Episode: 26   	Reward: -19	Steps: 742
Actor: 9  	Total steps: 11119    	Episode: 23   	Reward: -19	Steps: 664
Actor: 5  	Total steps: 11762    	Episode: 25   	Reward: -20	Steps: 762
Actor: 3  	Total steps: 11647    	Episode: 25   	Reward: -20	Steps: 457
Actor: 6  	Total steps: 12100    	Episode: 26   	Reward: -20	Steps: 462
Actor: 8  	Total steps: 11614    	Episode: 24   	Reward: -20	Steps: 532
Actor: 7  	Total steps: 12050    	Episode: 26   	Reward: -20	Steps: 536
Actor: 2  	Total steps: 13015    	Episode: 26   	Reward: -19	Steps: 686
Actor: 4  	Total steps: 12957    	Episode: 28   	Reward: -20	Steps: 454
Actor: 9  	Total steps: 11578    	Episode: 24   	Reward: -20	Steps: 458
Actor: 3  	Total steps: 12098    	Episode: 26   	Reward: -20	Steps: 450
Actor: 6  	Total steps: 12550    	Episode: 27   	Reward: -20	Steps: 449
Actor: 8  	Total steps: 12066    	Episode: 25   	Reward: -20	Steps: 451
